original_text,processed_text
Penyakit iri dengki amin bin srngkuni,sakit iri dengki srngkuni
Wis tuwek mbakh...hatimu sangat b8suk,tua mbakh hati sangat bsuk
"Dah tua pa, ngomong yg lurus aja pa, yg bae bae aja lah",tua ngomong lurus aja bae bae aja
"dancok cocote amin raes..cocot po pedal kuwi,lek pedal tak pancale..🙊",dancok cocote raes cocot po pedal kuwi lek pedal pancale
Yang iya omongkan ialah dirinya dan kliarganya sendiri,iya omong kliarganya
Yg tengel pak amin.....bisane hujat tpi gk pernah sukses..jadi mpr mimpin aja palu di ketuk ketuk ky main dranben,tengel bisane hujat tpi sukses mimpin aja palu ketuk ketuk ky main dranben
Raimu koyo asu Min... juh koe koyo gathel,rai anjing min juh kamu gathel
Apa g benci ato g malu ya..kluarga Jokowi KLO lihat konten ini..KLO g..memang betul2 kluarga RAI GEDEK,benci ato malu ya kluarga lihat konten ini kluarga rai gedek
"Menurut saya gelandangan tua ini yg bodoh dan tolol, manusia tk berguna",gelandangan tua ini bodoh tolol manusia tk guna
Orang komunis lagi ngoceh!.,orang komunis ngoceh
Suatu saat nanti Amin raisin akan kena karma mungkin struk,raisin kena karma struk
"Amin Rais ini adalah orang ter dzolim yg ada di NKRI, dia selalu tebar2 fitnah terhadap orang lain, AR ini tidak ngaca padahal dia bukanlah orang yg bersih juga.",ini orang ter dzolim nkri dia tebar fitnah orang ar ini kaca dia orang bersih
Emang loe sudah baik...jangan mencemooh orang koreksi dirimu sendiri katanya tau agama kok mulutnya tdk di jaga..naudubilahhimindzlik...,emang loe mencemoh orang koreksi kamu agama mulut jaga naudubilahimindzlik
Tua keladi tambah tua jadi keledai dituntun anis,tua keladi tua keledai tuntun anis
Uyut ompong,uyut ompong
Kamu apapun setan,kamu apa setan
Buktinya rakyat Indonesia menyukai jokowi 95 persen kalau kau amin rais hanya anakmu saja yg suka kau orang tua dajjal,bukti rakyat indonesia suka persen kau anak suka kau orang tua dajjal
Dajjal ini orang mata hatinya buta,dajjal ini orang mata hati buta
Aki aki gila😂😂😂<br>Amin amin😂😂😂,kakek kakek gila
terburuk matamu,terburuk mata
"Indonesia kaum penantang ALLAH, Krn ALLAH yg memiliki Kerajaan Langit &amp; Bumi dan diantara keduanya, masa manusia buat hukum di kerajaan ALLAH.",indonesia kaum tantang milik kerajan langit bumi manusia hukum kerajan
Sengkuni penduduk terburuk didunia &amp; paling plonga plongo,licik duduk terburuk dunia bingung bingung
"Udah Tua,, Gak beribawa ngomong...lebih Biruk lagi Dirimu,, Sampah Masyarakat..😅😅",udah tua beribawa ngomong biruk kamu sampah masyarakat
Udh tuwa bau tanah bukanya tobat malah seng koar koar menjelek jelekan orang laen.,tuwa bau tanah buka taubat koar koar jelek jelek orang laen
Sungguh rendah akhlaknya orang ini 😂😂,sungguh rendah akhlak orang ini
Apa yang kamu buat ketika kamu jadi ketua MPR... Doboool jaran lhooooo Amien Rais Wong Islam tak menunjukkan Kebaikan....,kamu kamu ketua dobol jaran lho orang baik
pendukung Jokowi emosi 😂😂😂,dukung emosi
Ya anda yg paling Hebat diIndonesia ketua MPR yg paling baik &amp; hebat,ya hebat indonesia ketua hebat
Ini orang klo meninggal dunia besok ggak bakalan ada yang datang krumahnya,ini orang tinggal dunia besok krumahnya
"Lupa sejarah ini orang..yg terburuk sebenarnya Jokowi atau amin rais.. kayaknya pernah menjabat deh selama 3 bulan akhirnya di lengser kan.. brarti itu bukti yg kuat bahwa yg bodoh,tengil dungu,oon yah amin rais 😂",lupa sejarah ini orang terburuk kayak jabat deh lengser brarti itu bukti kuat bodoh menyebalkan dungu on yah
"Pak praboolwo tolong habisin kakek tua bangka ini,..kasiham pak jokowi selalu dihina sama manusia sampah sperti amjn rais ini",prabolwo tolong habisin kakek tua bangka ini kasiham dihina manusia sampah sperti amjn ini
We aminnnn raos,we raos
Ini lagi manusia paling tua paling nakal,ini manusia tua nakal
Tobaaattt pak... udh tua,taubat tua
Raimu Mein bisamu adu domba dalang demo rusuh,rai mein bisa adu domba dalang demo rusuh
"Mbah Amin th 2029 nyalon presiden yo mbah, semoga menjadi presiden yg terbaik",kakek th nyalon presiden iya kakek moga presiden baik
Tobat,taubat
Biadab amin rais,biadab
Amin penghianat indonesia..bnr kata gusdur amin jd gelandangan politik,penghianat indonesia bnr gelandangan politik
Kalo mbah amin rais ter nyinyir se Indonesia. <br>Semoga lekas tobat sebelum mati,kakek ter ngomong indonesia moga lekas taubat mati
Amin rais adalak ketua mpr paling sesat paling bajingan yg pernah dimiliki indonesia.,adalak ketua sesat bajing milik indonesia
Sengkuni tobate nek wes bongko,licik tobate nek bongko
Minn.......sdh tuash dengki hasut....,min tuash dengki hasut
Sadar aminrais sudah bau tanah saja kk bnyak ulah bnyk tingkatkan Indonesia dipimpin kamu amin bisa2 tambah rusak sadar amin,sadar aminrais bau tanah k bnyak ulah bnyk tingkat indonesia pimpin kamu rusak sadar
"Terburuk...? Mata mu buta, hatimu batu.   Waton gak suka.   Jadi jiwanya melayang. Gak",terburuk mata kamu buta hati batu waton suka jiwa layang
Semoga panjang umur pak...<br>Supaya bisa lama menikmati kebencianmu...,moga umur nikmat benci
Gelandangan sih rais katanya gusdur,gelandangan
Amin seh orib kirain mateh,seh orib kirain mateh
Setan Lo min!!!,setan kamu min
Belum mampus ya ni bangke busuk,mampus ya ini bangke busuk
Mbah Amin Rais pemecah rekor terjahat didunia,kakek pecah rekor terjahat dunia
Laaa ngomong opo mbahe,la ngomong mbahe
Amin yg terburuk sepanjang sejarah indonesia,terburuk sejarah indonesia
Preeeeeeeet mien mien,bohong mien mien
Tobat mbah sdh tua Bangka kamu,taubat kakek tua bangka kamu
Sama yg ngomong i ni lebih bodoh coba suruh dia jadi presiden nanti lak kaya kucing amin,ngomong i ini bodoh coba suruh dia presiden lak kaya kucing
mbel gedess min amin dosamu sak gunung,mbel gedes min dosa sak gunung
Sma Ama si omon 2 orang csnya sehidup semati  presiden gagal 2 dua mya😢😢😢😢😢😢😢😢😢,sma ama si omon orang csnya hidup semat presiden gagal mya
Kali ini anda betul.,kali ini
Amin rasis itu sudah pikun ..mulut doang  di gede²in,ras itu lupa mulut doang gede in
Sadar pak aminrais.. suda tua dan bautanah pak... Ingat mati jangan kompor trus aja kerjanya itu tidak berguna..,sadar aminrais suda tua bautanah mati kompor trus aja kerja itu guna
Amin rais ahli ibadah mulutnya makan bangkai sendiri,ahli ibadah mulut makan bangkai
Amien rais ini pantas nya di pasung biar GK bikin gaduh,ini nya pasung biar bikin gaduh
Angel matine wong ngene ki,angel matine orang ngene ini
Mbah..Amin ayo cepat minum  obat Supaya cepat sembuh...,kakek ayo cepat minum obat cepat sembuh
bener itu PK Amin rais....pembohong bin licik tipu sana sini...,itu bohong licik tipu
betul sekali apa yang di katakan gus dur.<br> suatu saat akan terbukti oleh bangsa ini. bahwa amin akan jadi gelandangan politik di usia senja. dan nenek mega akan jadi politikus yang licik.,sekali bukti bangsa ini gelandangan politik usia senja nenek mega politikus licik
Amin rais NDOBOLLLLLLLLL,ndobol
Seumur hidup saya baru mengetahui manusia Ter dorna didunia,umur hidup manusia ter dorna dunia
kau Lo jadi Mentri paleng bodol loh Mbah ko Yo ora sadar2  min,kau kamu tri paleng bodol loh kakek iya sadar min
Ketua MPR terburuk ya Mbah Amin Rais,ketua terburuk ya kakek
Asu raimu min kakean cocot.yg toksik bodoh itu kamu.,anjing rai min kakean cocot toksik bodoh itu kamu
Wis Tuek mbalik Cilikaneeehhh,tua mbalik cilikaneh
SEORANG KAKEK KEBANGGAN ANAK² DAN ISTRINYA .,kakek bang anak istri
Rais prestasi lo apa dibandingkan pa jokowi bagaikan langit dan bumi pa jokowi 2x walikota solo 1x gubernur DKI 2 priode presiden RI kalo lo apa nyinyir kaya ma lampir 😅😅 manusia kardus mabuk kecubung😅😅😅😅,prestasi kamu banding langit bumi x walikota solo x gubernur dki priode presiden ri kamu ngomong kaya ma lampir manusia kardus mabuk kecubung
😅😅😅😅 orang terburuk di Indonesia sok suci😅😅😅,orang terburuk indonesia sok suci
Audzubillahi.iminasyaithanirrajim. Allahu Akbar. Allahu Akbar. Allahu Akbar. Allahu Akbar.,audzubilahi iminasyaithanirajim alahu akbar alahu akbar alahu akbar alahu akbar
Amin Rais sedang mengunduh karma di jalani sampai mati/gelandangan politik,unduh karma jalan mati gelandangan politik
Ini anak buah dajal tukang hina,ini anak buah dajal tukang hina
"Semoga bapak Amin Rais membaca tulisan kita, lebih baik memperbanyak istighfar, sholawat dan zikir pegang tasbeh sebagai alat biar inget Allah, inget maut makin dekat, daripada menghujat.",moga baca tulis banyak sholawat zikir pegang tasbeh alat biar maut menghujat
Orang sinting lu gk nyadar,orang sinting kamu nyadar
Bujaal tua,bujal tua
"Sumpah aku trhibur . Trtawa .. mksih mbah. Smoga awet,shat sll dn panjang umur..<br>Stand up komedy tingkat dewa.. <br>Kata2mu sll aku tunggu dn pastiny mnghibur",sumpah aku trhibur trtawa mksih kakek smoga awet shat sll umur stand up komedy tingkat dewa kata sll aku tunggu pastiny mnghibur
"Nah firaun muncul mukanya,mulutnya,matanya,mulutnya jelas terburuk sedunia,di ngaku sendiri si firaun,terburuk sedunia,jabatan fropesor si amiradul alias si top 6,semoga panjang umur si top skor buruk,supaya ucapannya yg busuk menggrogoti dirinya yg nyata,lanat si babi amin rais bin  begu.amrol....",firaun muncul muka mulut mata mulut terburuk dunia ngaku si firaun terburuk dunia jabat fropesor si amiradul alias si top moga umur si top skor buruk ucap busuk mengrogoti nyata lanat si babi begu amrol
"Amin tak salah kata pak gusdur ,,gelandang,,propokasi politik smenjak ,,orde baru ,,,jcaman pak arto,,,,lagi kerjanmya gini waktu itu tertutup,,skrg,,,baru terbuka caranya,,,amin,,,,",salah gelandang propokasi politik smenjak orde jcaman arto kerjanmya itu tutup skrg buka
"Sadar mbh Dari pinsan,Anda mantan seorang pejabat dan alim ulama Kok jadi orang yg Selalu menyuarakan kebencian.<br><br><br>Klau orang jowo  bilang ngilo githok e sek. astagfirullah 3×",sadar kakek pinsan mantan jabat alim ulama orang suara benci klau orang jowo bilang ngilo githok sek astagfirulah
Sengkuni 62,licik
Jancuk kamu Sengkuni mana janjimu katanya mau jl kaki jakarta Jogja cuk Sengkuni kamu jadi gelandangan politik SDH terbukti kata Gusdur,jancuk kamu licik janji jl kaki jakarta jogja cuk licik kamu gelandangan politik bukti
Lalu kamu  min apa juga cuma lho lhak lho lhok. Yg kamu buat negara apa,kamu min lho lhak lho lhok kamu negara
Mulutmu yg terburuk mba,mulut kamu terburuk mba
Orang ini lama2 semakin tidak waras parah,orang ini sehat parah
Cocote,cocote
ini orang tua suka goroh suka menipu,ini orang tua suka goroh suka tipu
Mbah amin tobat Mbah sebelum terlambat Mbah. Sakit pikir ya Mbah ?,kakek taubat kakek lambat kakek sakit pikir ya kakek
Halah....😮<br>Dah tua insyaflah Omong doang... Waktu jadi DPR apa ada pikiran bela rakyatnya...? Sama&quot; plonga plongo terbuai jabatan<br>Dia diam menikmati jabatannya tanpa adanya reaksi apapun untuk bela rakyat,halah tua insyaflah omong doang dpr pikir bela rakyat kutip bingung bingung buai jabat dia diam nikmat jabat reaksi apa bela rakyat
Tidak seauai namanya. Amin...bangkai,seauai nama bangkai
IS RAIS. KAMU JADI KETUWA MPR AJA GAK SUKSES KOK NGOMONG IS RAIS.😂😂😂😂,kamu ketuwa aja sukses ngomong
Si amin Rais taeeekk,si taek
Sedih manusia merendahkan martabat manusia padahal sesama makhluk Alloh <br>Pahala penghujat pindah ke yg di hujat ngeriiiih,sedih manusia merendahkan martabat manusia makhluk pahala hujat pindah hujat ngerih
Amin amin udah bau tanah masih dengki goblog,udah bau tanah dengki goblog
"Kamu memang pintar pak Amin, Pintar menghina orang lain",kamu pintar pintar menghina orang
"Itu menurut amin ,,menilai orang  atas dasar kekecewaannya , sakit hatinya  karena Mesa pinter tapi karirnya kalah jauh   Jokowi ,,,",itu nilai orang dasar kecewa sakit hati mesa pintar karirnya kalah
Amin rais gedabrus omong kosong preet,gedabrus omong kosong bohong
Baik tanah,tanah
"Dasar gelandangan politik,skrg ini mbah amin sdh tdk laku lgi mau partai A atau partai B,C kau bangun para konstituen mu ngk bakal ada yg mengikutimu,sadarlah kmi itu sdh bau tanah alias tua bangka..",dasar gelandangan politik skrg ini kakek laku lgi partai a partai b c kau bangun konstituen kamu ngk ikut sadar kmi itu bau tanah alias tua bangka
"Ini Amin Rais yg selalu mengumpulkn banyk orang untuk memaki ,,,amin ini pintar Maslah agama tapi akhlaknya bejat",ini mengumpulkn banyk orang maki ini pintar mas agama akhlak bejat
Amin tidak laku di RI....iri. cemburu....anda  tidak berguna...mulut kotor...,laku ri iri cemburu guna mulut kotor
"Terburuk sebabpe Kowe Amin tak oleh posisi, lan ora oleh ceperen. Pasti omonge nguno.",terburuk sebabpe kamu posisi lan ceperen omonge nguno
Terima kasih presiden terbaik pk Jokowi rakyat menyayangimu ❤,terima kasih presiden baik rakyat sayang
Aki aki bukannya insyap...,kakek kakek insyap
Dahulu yg melerngserkan bpk.Presiden Suharto siapa ya ajak anak mahssiswa demo tapi sekarang udah males masak setiap Presiden buruk kan ngak mungkin hsnya orang bodoh yg percaya,melerngserkan presiden suharto ya ajak anak mahsiswa demo udah males masak presiden buruk ngak hsnya orang bodoh percaya
Dan siapa politikus yg paling tukang meracau ngak karu karuan seperti farasit,politikus tukang racau ngak karu karuan farasit
Udah tua lho omongan nya di jaga,udah tua lho omong nya jaga
Amin raid lebih buruk,raid buruk
80  persen masyarakat indonesia bodoh maka masyarakat indonesia mudah ketipu sangat benar yg di kata p. Amien rais.,persen masyarakat indonesia bodoh masyarakat indonesia mudah tipu sangat
Org ini hrs masuk RSJ,orang ini hrs masuk rsj
Yang di katakan Amien rais bahwa jokowi adalah presiden terburuk itu adalah benar<br>Tetapi dosa besar amin rais dan megawati<br>Adalah dengan menjatuhkan mantan presiden kh. Abdulrahman wahid <br>Dosamu sungguh terlalu besar mbah<br>Bersama megawati akan mendapatkan balasan dari allah,presiden terburuk itu dosa megawati jatuh mantan presiden kh abdulrahman wahid dosa sungguh kakek megawati balas
Amin ora mikir,mikir
"KH Abdurahman Wahid dlu zmeramalkna klo Amin akan jdi gelandangan POLITIK &amp; SKRG terbukti ,",kh abdurahman wahid dlu zmeramalkna gelandangan politik skrg bukti
Jokowi hebat,hebat
Ya amin Raes itu yang bodoh,ya raes itu bodoh
"Orang ini sampah masyarakat,, dialah Amin Goblog Rais,,",orang ini sampah masyarakat goblog
Orang sudah bau tanah aja kok masih kebanyakan mulut.aku benci amin Rais sejak dia melengserkan almarhum presiden Soeharto.pak Prabowo tolong singkirkan kakek tua ini dari rebuplik Indonesia,orang bau tanah aja banyak mulut aku benci dia lengser almarhum presiden soeharto tolong singkir kakek tua ini rebuplik indonesia
Saya cuma seorang yg hidup dipinggiran menilai bahwa orang itu sudah lupa bahwa beliau lupa asalnya dr mana apakah dr Jawa apa dr arab.....kebanyakan orang Muhammadiyah adalah habib habib palsu....maaf bapak pendidikan tinggi tapi tak mencerminkan kepribadian yg baik buat anak bangsa.....lebih baik jadi pengemis saja...,hidup dipingiran nilai orang itu lupa beliau lupa asal jawa arab banyak orang muhammadiyah habib habib palsu maaf didik cermin pribadi anak bangsa pengemis
Mbah amiin manusia terburuk di akhirat......,kakek manusia terburuk akhirat
"Inilah contoh,dajal hidup, ya ini orang dajal nya",ini contoh dajal hidup ya ini orang dajal nya
Mbh amin sadar2 sudah tua masih mencaci orang terus. Istifar bentar lagi masuk liangkubur.,kakek sadar tua caci orang istifar bentar masuk liangkubur
Presiden terbaik yg pernah indonesia miliki,presiden baik indonesia milik
Astaufirrulloh,astaufiruloh
Eling umur mbah..,umur kakek
Sadar Mbah sakit hati ya  cangkemu elek,sadar kakek sakit hati ya mulut elek
Dan pak  Amin manusia. Paling MUSRIK YANG ADA KARENA DIRINYA MERASA JADI TUHAM,manusia musrik tuham
"Ini org kapan ditahliln ,fitnah Mulu udh bau tanah jg",ini orang ditahliln fitnah mulu bau tanah
"Lebih baik kalau tambah usia ingat sakit jantung, stroke, diabetes, dr pd sakit hati terus menerus..!",usia sakit jantung stroke diabetes pd sakit hati terus
Amin = Anjing,anjing
"Amin Rais /SE.ngkuni,paling goblok,dan paling bento,",ngkuni goblok bento
Loe min pejabat indonesia terburuk dan terjelek ga ada kontribusi nya buat indonesia,loe min jabat indonesia terburuk terjelek kontribusi nya indonesia
Allangma tei.,alangma tei
"Kau bilang jokowi preaiden terburuk didunia, saya mau kasih tau, kau itu manusia terhina didunia, kau itu lebih hina dari binatang",kau bilang preaiden terburuk dunia kasih kau itu manusia hina dunia kau itu hina binatang
Si manusia terkutuk oleh gusdur ya itu Amien rais jadi gelandangan politik,si manusia terkutuk ya itu gelandangan politik
"Itu orang tua,dia sendiri Yang bodoh, udh pikun mau mampus gk mampus, umur ny alot belom mau tobat lgi, dasar gila, jebloskan aja ke lubang kubur agar aman dunia nyinyir ny",itu orang tua dia bodoh lupa mampus mampus umur ny alot bom taubat lgi dasar gila jeblos aja lubang kubur aman dunia ngomong ny
Sdh tetap Jokowi diam dn senyum,diam senyum
Mbah Amin kayak temen saya waktu kecil kalau ngambek....<br>Marah marah...<br>Bodoh tapi bisa buatin mbah Amin jalan Tol arah Jogya.. Buat jengklek mbahe ke Jakarta... Untuk nglunasi Nadarnya mbah Amin...😂😂😂😂,kakek kayak temen ngambek marah marah bodoh buatin kakek jalan tol arah jogya jengklek mbahe jakarta nglunasi nadarnya kakek
kenapa ya setiap liat muka sengkuni raes kok rasa mau muntah😁😁😁😁😁😁,ya lihat muka licik raes muntah
raes wajahnya sudah mirip wajan goreng bekas😊😊😊😊😊😊,raes wajah wajan goreng bekas
Pk Amin ngga.malu poh sama diri sendiri...pk Amin R nyalon presiden ngga jadi ya kan baiknya dimana,malu poh r nyalon presiden ya baik mana
Kake Amin...segera tobat..sebentar lagi kake mau di jemput oleh malaikat pencabut nyawa..segera tobat kee...😮,kake taubat sebentar kake jemput malaikat cabut nyawa taubat
Mba amin jee urep seneng nyuloyo,mba je urep neng nyuloyo
"Sekarang terbukti, banyak yang mulai sadar... penginderaan yang tajam dan kepekaan politik terhadap pak dhe jokowi sebagai kepanjangan tangan oligarki pertama kali terjadi pada mbah rewang dan mbah amien rais",bukti sadar penginderan tajam pek politik dhe panjang tangan oligarki kali kakek rewang kakek
"Katanya orang yg faham tentang agama,, ngomongnya seperti ndk punya adab,, jujur sy liat ini manusia otak nya isi nya Ta&#39;i binatang,, 😡",orang faham agama ngomongnya ndk adab jujur lihat ini manusia otak nya isi nya ta i binatang
Amin rais rakyat terburuk mulut busuk  tua banka mulut kotor,rakyat terburuk mulut busuk tua banka mulut kotor
Kasihan banget melihatnya.<br>Sudah tua tapi hatinya msh penuh dengan iri dengki,kasihan sangat tua hati penuh iri dengki
"Semoga mbah diberi umur panjang, agar dapat membuat konten menghina pak Jokowi sebanyak-banyaknya. Mudah-mudahan pak Jokowi dihapuskan dosa-dosanya sehingga beliau bisa masuk surga kelak. Aamiin.",moga kakek umur konten menghina banyak mudah mudah hapus dosa dosa beliau masuk surga kelak
Melihat islam pada diri manusia adalah pada ahlaq nya,manusia ahlaq nya
"Setiap pemimpin adalah yang terbaik di masanya,Sesuai dengan situasi dan kondisinya.<br><br>Dan tidak bisa dibandingkan dengan kepemimpinan sebelum atau sesudahnya.Sebagaimana seorang bapak dan anak laki-lakinya akan memimpin di masa serta situasi yang berbeda.",pimpin baik masa sesuai situasi kondisi banding pimpin anak laki laki pimpin situasi beda
Agamanya apa ya orang ini ??,agama ya orang ini
Kasian stress amin,kasi stres
Kemaren kemana pak,kemaren mana
Muak dg org ini..SALAH SEORANG yg menggulingkan PRESIDEN GUSDUR...   maka nya sekarang jadi gelandangan politik,muak orang ini salah guling presiden nya gelandangan politik
Amin Rais selalu ngedabrus,ngedabrus
GELANDANGAN ...BANYAK BACOT...😂😂😂,gelandangan bacot
Mmng. Betul !!!,mng
"Min2,   hati2 Allah marah yaa nanti di sono Ats ke nyinyiran mu✌️✌️",min hati marah ya sono ats nyinyir kamu
Kyai kok membuka aib yg belum tau bener ya apa tidak takut Neraka.,kyai buka aib ya takut neraka
"Mbah amin mbok ora usah elek2 wong liyo , awakmu ae luwih plonga plongo tur ora kanggo",kakek elek orang liyo awak aja luwih bingung bingung tur kanggo
"Ingat pak, ketika anda jadi ketua MPR dulu.",ketua
Allah lagi mendengarkan ceramanya amin rais. Tau gak dia itu lagi ceramah untuk dirinya sendiri. Semoga allah ngasih jakat sm amin rais.,dengar ceramanya dia itu ceramah moga ngasih jakat
Terburuk itu menurut gelandangan.  Gak diLihat prestasinya dan pemilihan nya pembangunan tol di mana mana,terburuk itu gelandangan prestasi pilih nya bangun tol
Sdh tua mbok nyebut to mbah  .. <br>Kari modar kok aeng&quot;,tua nyebut kakek kari tinggal aeng kutip
Bahasa seorang prof koyo AMIN NGEMIS sangat tidak pantas  mengatakan kalimat tengil .. dia sangking panas nya melihat pk jokowi akhirnya dg bahasa yg tidak populerpun diucapkan,bahasa profesor ngemis sangat kalimat menyebalkan dia sangking panas nya bahasa populer
Pk jokowi presiden terhebat sepanjang sejarah .,presiden hebat sejarah
Yg sebenarnya PLONGA PLONGO BUKAN PK JOKOWI TAPI AMIN RAIS,bingung bingung
Masih bermanfaat seorang mulyono dibanding Amin rais dia pernah berjasa bagi bangsa dan negara sedang amin Rais hanyalah seorang TENGIL,bermanfat banding dia jasa bangsa negara menyebalkan
"Knpa anak vcucu nya gs oasung Embah nya,  dblm nanti telanjang di tengah psar.",knpa anak vcucu nya gs oasung embah nya dblm telanjang psar
"Saya berharap, pak Prabiwo, menangkap aki2 ini,  karna berni menghina, pk jokowi, gguru pak prabowo.",harap prabiwo tangkap kakek ini berni menghina guru
"Menghina kita yg mana mi...n?.  Jln tol dimana2,  kampunh tertinggsl di jadikan kota bsr, yg  menmpung lspngsn kerja,  terbukti 85 % rakyat indonesia mencintai Psk jokowi  bahkan ddh tdk menjabat pun tamu nya dri seluruh pelosok daerh.,",menghina mi jln tol mana kampunh tertingsl jadi kota bsr menmpung lspngsn kerja bukti rakyat indonesia cinta psk dh jabat tamu nya dri pelosok daerh
Karna jokowi lah indonesia jadi benar bukan seperti aminrais dari hati rakyat hidup lah.mantap presiden pak jokowi.❤❤❤❤❤,indonesia aminrais hati rakyat hidup mantap presiden
"Alah is is,kamu tu ya tengil bin pekok",alah kamu itu ya menyebalkan kok
Leoas dari RSJ ga bisa sembuh..bikin partai umat <b>ga laku</b> ...😂😂,leoas rsj sembuh bikin partai umat b laku b
Wes tuwek kok gak sadar udah bau tanah masih suka memfitnah <br>Jika pak jokowi kao anggap persident terburuk kena apa Gusdur juga kao fitnah dan kao ma&#39;zulkan ! Jadi yg jelas Tidak ada persident yg baik di matamu ni sengkuni ! Sadarlah dan segeralah bertaubat sebelum ajal menjemputmu,tua sadar udah bau tanah suka memfitnah kao angap persident terburuk kena kao fitnah kao ma zulkan persident mata ini licik sadar segera taubat ajal jemput
Omongan mu mencemari nama baik organisasi mu mbah. Mending jd penasehat cucu²mu mbah,omong kamu cari nama organisasi kamu kakek mending nasehat cucu kamu kakek
Yg terburuk Indonesia klo amien rais hidup di Indonesia.harus dibumi hanguskan.,terburuk indonesia hidup indonesia bumi hangus
Udah gak laku lagi suaramu di negri ini is,udah laku suara negri ini
Amin manusia paling taek se indonesia hingga saat ini.,manusia taek indonesia ini
"Amin raze ini GK pantas bergelar profesor dr cara bicaranya yg selalu merendahkan mantan Presiden yg berjasa besar bagi rakyat. Amin yg berbicara sampah GK laku di politik,bgk dadi opo-opo jadi gelandangan politik, sakit hati Krn anak 2nya juga GK laku  di politik.sdh tua  rajin doa tuk anak cucu dr pada omong sampah yg GK enak dirungokna kuping.",raze ini gelar profesor bicara merendahkan mantan presiden jasa rakyat bicara sampah laku politik bgk gelandangan politik sakit hati anak nya laku politik tua rajin doa tuk anak cucu omong sampah enak dirungokna kuping
"Anaknya pada krmana ya?kok di lepas ngitu aja ,.",anak krmana ya lepas ngitu aja
Kasihan kou Mbah amin....GX sadar kou Jokowi presiden pilihan rakyat....bahkan presiden terbaik,kasihan kou kakek gx sadar kou presiden pilih rakyat presiden baik
Km dajallll suka adu wedusssss😂😂😂😂😂😂😂😂😂😂,kamu dajal suka adu wedus
😂😂😂😂😂😂😂😂😂lh km. Gk ad otakkk islam kyk taiiii medingk km mti jaaa gk ad gunaaaa nyyy,lh kamu ad otak kyk tai medingk kamu mti ja ad ny
Mulyono terbaik amin rois lebih terburuk dibandingkan komidi bedes😅😅😅,baik rois terburuk banding komidi bedes
"Mbok sadar Mbah wis tuwo nyebut wis rasah golek sensasi,nyatane koe ora esoh dadi presiden",sadar kakek tuwo nyebut rasah golek sensasi nyatane kamu esoh presiden
Miiin... Miiinnnn... Tukang kudeta Gus Dur,min min tukang kudeta
Assalamualaikum Mbah amin Rais jangan menjelekkan koreksi diri Mbah apa udah benar,asalamualaikum kakek jelek koreksi kakek udah
Wes tuek mbok istiqomah beribadah gk usah jelekan orang... Sebelum di rendahkan dan dihinakan allam SWT..,tua istiqomah ibadah jelek orang rendah hina alam swt
Kedengkian yg mendarah daging,dengki darah daging
"Orang yg gagal bukan nya amin rais, apa sih yg kau buat untuk negri ini, kau hanya orang tua yg tak tau diri ,bahkan kau belum  berbuat yg baik ini, Kata nya bapak reformasi  nyata nya kebablasan hingga tak berahlag, padahal  Indonesia terkenal dg kebijaksanaan nya",orang gagal nya kau negri ini kau orang tua kau buat ini nya reformasi nyata nya bablas berahlag indonesia kenal kebijaksanan nya
Amin adalah politikus terburuk di negara ini! SENGKUNI!! GLANDANGAN POLITIK!!!,politikus terburuk negara ini licik gelandangan politik
"Nek cedak omahku, tak plinteng  cangkeme",nek cedak omahku plinteng mulut
"Mbah aku lihat kamu itu neek mbok istirahat wong udah mau mati kok bikin huru hara, tolong anaknya itu lhoo bapaknya kehabisan obaat",kakek aku lihat kamu itu nek istirahat orang udah mati bikin huru hara tolong anak itu lho bapak habis obat
Ini ucapan dendam bukan penilaian obyektif.,ini ucap dendam nilai obyektif
Ya Allah......ingat umur mbah Mbah,ya umur kakek kakek
Mendinfan jokowi bs jd presiden drpd elu cm menghayal doang,mendinfan bs presiden drpd elu cm menghayal doang
Blom kembali msk rsj???,blom msk rsj
Min min.wis tuwek ngak bikin contoh yg baik,min min tua ngak bikin contoh
Rasah  di ungah  si  looorr,rasah ungah si lor
Amin Rais ketua MPR terburuk sepanjang sejarah NKRI,ketua terburuk sejarah nkri
"Jokowi presiden terbaik Indonesia,sebaliknya AR adalah profesor terburuk didunia😂😂😂",presiden baik indonesia ar profesor terburuk dunia
"Amin rais itu politik gelandangan, dia hanya bisa ribut di luar pagar, <br>Ini sangat di sayangkan...?",itu politik gelandangan dia ribut pagar ini sangat sayang
"Amin rais ...ayo kita minum arak,trus nglonte yuuk",ayo minum arak trus nglonte yuk
Ya pak Amin mksh inpormasinya dan bagus sekali ucapan bpk.,ya mksh inpormasinya bagus sekali ucap
Mau jadi apa negara ini yang Allah ampun 😢,negara ini ampun
Mulut sudah bau tanah.... ke neraka aja....😂,mulut bau tanah neraka aja
Matamu min min,mata min min
lho katanya sakit portat stadium 100bah wes waras opp tambah nemen mbah min,lho sakit portat stadium bah sehat op nemen kakek min
Orang satu ini benar2 sampah....😂,orang ini sampah
Lucu bgt nama baru jokopret....hhhhaaa,lucu bgt nama jokopret ha
"Amin rais adalah Ketua MPR terburuk sepanjang masa, saat jabatannya UUD 1945 di amandemen yang merupakan wewenang lembaga MPR.😂",ketua terburuk jabat uud amandemen wewenang lembaga
"Amin bajingan ini ya,modar wae koe",bajing ini ya tinggal kamu
