original_text,processed_text,cyberbullying_score,cyberbullying_word_count,label
Tua bangka ga sadar .udah ga ada yg simpati..bersihkan hatimu,tua bangka sadar udah simpati sih hati,4.0,2,2
"Kelihatan orang klok sirik &amp; dengki gak sukak, tua&quot; kok dengki &amp; sok benar dalam dirinya sendiri 😅😅😅",orang klok sirik dengki sukak tua kutip dengki sok,2.0,1,1
"Lagi membuka aib kejelekannya sendiri bersama pengikutnya yg sama sama ga jelas sama sekali ga ada manfaatnya buat bangsa,amin dan pengikutnya menjadi........🤭🤣🤣🤣🤣🤣🤣🤣🤣",buka aib jelek ikut sekali manfaat bangsa ikut,2.0,1,1
"Jokowi presiden terbaik terus kamu sendiri sdh berbuat apa pada bangsa ini,yg ada selalu buat mslh",presiden baik kamu buat bangsa ini mslh,0.0,0,0
Ws pa modar min sadar cocote,ws tinggal min sadar cocote,0.0,0,0
mbah amin gek istigfar wae golek ngamal sek akeh,kakek gek golek ngamal sek akeh,0.0,0,0
Astaghfirullah Al adzim...<br>Fitnah lebih kejam dari pembunuhan.<br>Bagi mna klu penghinaan ini berbalik menikam Mbah amin...,astaghfirullah al adzim fitnah kejam bunuh mna penghinan ini balik tikam kakek,10.0,2,3
Aku bersyukur presiden nya bukan Amin Rais.,aku syukur presiden nya,0.0,0,0
Maka pantaskah setua ini menjadi teladan ? .<br>Jikapun benar adanya tak pantas secara terbuka agar semua orang tau kebirukan orang lain. <br>Adakah mencontoh Rasulullah???!,pantas tua ini teladan jika buka orang biru orang ada contoh rasululah,2.0,1,1
Orang tolol yang harus di mumikan untuk saksi sejarah bahwa lalat pun bisa hidup di indonesia,orang tolol mumi saksi sejarah lalat hidup indonesia,4.0,1,2
"Astaghfirullohaladzim sudah tuwa pak Amiin bicara baik2 jangan suka menghujat orang lain ,dan koreksi diri sendiri seperti apa.",astaghfirulohaladzim tuwa bicara suka menghujat orang koreksi,0.0,0,0
Dasar orang tua sukanya ngejelekun orang aja ga ngaca dia.,dasar orang tua suka ngejelekun orang aja kaca dia,2.0,1,1
Innilillahhi😂😂😂😂😂 gibah badag,inililahi gibah badag,0.0,0,0
"Tambah termina..,di masa tua nya",mina tua nya,2.0,1,1
"Bocil amin rais  itu memang  betul betul sudah bejat , tapi ya gapapa namanya bocil.",bocil itu bejat ya gapapa nama bocil,0.0,0,0
"Sangat tidak pantas seorang yang punya pendidikan tinggi ternyata suka merendahkan orang lain,,,yang keluar dari mulutnya ga bermutu dan bermanfaat, semoga cepat bertaubat,,",sangat didik suka merendahkan orang mulut mutu bermanfat moga cepat taubat,0.0,0,0
udah tua jangan terlalu menjelekan orang lain.. islam pun mengajarkan selalu berkata yg baik,udah tua jelek orang ajar,4.0,2,2
Benar2 sengkuni,licik,2.5,1,1
Mohon diringkus memalukan indonesia,mohon ringkus memalukan indonesia,0.0,0,0
GEDABRUS.... PROVOKATOR ULUNG,gedabrus provokator ulung,0.0,0,0
tapok cangkemmu Mbah...semakin tua kok semakin tengil,tapok cangkemmu kakek tua menyebalkan,6.0,2,2
"Lo yg dongo Amin Rais 😂 ,<br>Gara gara Lo tahun 1998 negara ini jdi kacau babi mana anjing tanggung jawab Lo ke negara ini kagak ngepek Lo dongo waktu jdi ketua MPR jga setan.",kamu dongo gara gara kamu negara ini kacau babi anjing tanggung kamu negara ini kagak ngepek kamu dongo ketua jga setan,10.0,3,3
Amin r sengkuni terbaik di negeri ini.. Kpn jadi mantan sgkuni..,r licik baik negeri ini kpn mantan sgkuni,2.5,1,1
Amien nangis,nang,0.0,0,0
Pak purnomo tolong ini,purnomo tolong ini,0.0,0,0
Oalah ini to asal usul mulyono😅😅,oalah ini usul,0.0,0,0
Jika Bpk Aim  Rais  orang neriman ....<br>Maka dia bisa menjaga mulut nya <br>..tp kenama orang yg. ber mulut kotor  ini  madih ada yg mau berteman dg  orang seperti ini !!!!!!!!!!!!.,aim orang neriman dia jaga mulut nya nama orang ber mulut kotor ini madih teman orang ini,2.0,1,1
😂😂😂 mbahhh . Mbahhhh... Sopo sing nggugu omongan mu 😂😂😂😂,kakek kakek sopo ngugu omong kamu,0.0,0,0
"Najis gua liat amin najis.karna apa gak sadar,ngacaa...trus udh bau jenglot juga badan nya amin.",najis gua lihat najis sadar kaca trus bau jenglot badan nya,2.0,1,1
Berbicara itu yg baik Pak .....,bicara itu,0.0,0,0
"Kalo mendapat jabatan ngga kedengaran suaranya tapi kalo sudah ngga dapet jabatan barulah ada suaranya , inilah sosoknya ...",jabat dengar suara dapet jabat baru suara ini sosok,0.0,0,0
kamu saja menggulirkan gusdur <br>maka jadi gelandangan politik,kamu ulir gelandangan politik,0.0,0,0
Kowe Ki ngomong OPO pak pak ??kwe sok mati ne piye? tros Ng konone bakal diapakno Yo menungso koyo ngene Iki????seng toksik iku oo gak seng ngomong Iki yo Netizen????😮😮😮,kamu ini ngomong kwe sok mati ne piye tros ng konone diapakno iya menungso ngene ini toksik itu o ngomong ini iya netizen,5.0,1,2
SDH tua..semoga nanti beliau Husnul kotimah,tua moga beliau husnul kotimah,2.0,1,1
Wong asu kuwe iku min,orang anjing kuwe itu min,3.5,1,2
Wong pekok amien rais wiiich... gajulen ndase kuiw...,orang kok wich gajulen ndase kuiw,0.0,0,0
Org ini agamanya apa ya…?????,orang ini agama ya,0.0,0,0
Astagfirullahhal’adzim pak Sudah Sepuh bertobat<br>Lah se belum ajal menjemputmu,astagfirulahal adzim tua tobat ajal jemput,2.0,1,1
Kenpa g dituntut ni orang apa hebatnya dia,kenpa tuntut ini orang hebat dia,0.0,0,0
Amin Rais lebih buruk paling bodoh se Indonesia,buruk bodoh indonesia,7.0,2,2
Orang ini gila beneran kynya,orang ini gila beneran kynya,4.0,1,2
Efek sepuh,efek tua,2.0,1,1
tol tol tol amin rais kayak?,tol tol tol kayak,0.0,0,0
Ini orang tua kok lama bgt di ambilnya,ini orang tua bgt ambil,2.0,1,1
Amin Rais . .   <br>Ternyata orang gila .<br>Tidak bisa kontrol omonganya sendiri .,orang gila kontrol omonganya,4.0,1,2
"KENAPA AMIN RAIS SENDIRI YG KEMARIN MERUBAH SIMBOL PANCASJULA,APAKAH ITU BENAR ANGGAPANMU MBAH AMIN",kemarin rubah simbol pancasjula itu angapanmu kakek,0.0,0,0
"Pak amin kalau sudah tua jagan banyak cerita memang pak amin sudah ada bukti,,saya anak kalimantan ini",tua jagan cerita bukti anak kalimantan ini,2.0,1,1
OOO ini toh yg dibilang gelandangan politik,o ini bilang gelandangan politik,0.0,0,0
Amin rais bukan yg terbaik di indonesia ini,baik indonesia ini,0.0,0,0
istigpar lah,istigpar,0.0,0,0
"orang tua nggak tau diri, namanya aja RAIS😂😂😂",orang tua nama aja,2.0,1,1
Seorang yg menghina orang lain berarti menghina dan menghujat didi sendiri,menghina orang menghina menghujat didi,0.0,0,0
"memang anda gak lebih baik dari jokowi, tobat udah tua anda tuh.. <br>kek orang benar saja kalo ngomong",taubat udah tua tuh orang ngomong,2.0,1,1
Dasar gelandangan politik .  Sok tau,dasar gelandangan politik sok,0.0,0,0
Pak amin persiden kampung tak terpilih,persiden kampung pilih,0.0,0,0
Amin Rais merasa indonesia ini seolah milik dia dan keluarganya dan org sinting,indonesia ini milik dia keluarga orang sinting,0.0,0,0
Perilaku aminrais terburuk dan memalukan di indonesia . Tapi SDH TDK tau malu,perilaku aminrais terburuk memalukan indonesia malu,0.0,0,0
Memang sudah gila orang ini. Gila jabatan. Betul 2 jadi gelandangan politik. Sudah tua kayak anak kecil. Yang bodoh itu amin rais.,gila orang ini gila jabat gelandangan politik tua kayak anak bodoh itu,14.0,4,3
"orang sirik tanda tak mampu, wes tah mbah kok memalukan dirimu sendir tohi",orang sirik tanda tah kakek memalukan kamu sendir toh,0.0,0,0
"Sabar &amp; terimah nasib and takdir kek amin..lu capres gk ad yg milih,berarti rayat indonesia gk suka lu amin tais",sabar terimah nasib and takdir kamu capres ad milih rayat indonesia suka kamu tais,0.0,0,0
Situa bangka bauk tanah ini manusia paling goblok diindonesia yg mulutnya kayak comberannnn,situa bangka bauk tanah ini manusia goblok indonesia mulut kayak comberan,6.0,2,2
Iki.amin.rais.87.golok.dosa,ini golok dosa,0.0,0,0
Gk.onok.wong.islam.cacimaki.koyo.aminrais.gobolo.dewo.amirseng.d.bodo.aminrasi,onok orang cacimaki aminrais gobolo dewo amirseng bodo aminrasi,0.0,0,0
"Apa kluarga GK merasa kasian ya,,,aku yg bukan sp2 aj kasian liat orang ini",kluarga kasi ya aku sp aj kasi lihat orang ini,0.0,0,0
Kok wekk ....aku lihat orang ini.,wek aku lihat orang ini,0.0,0,0
Taek kon min,taek kon min,0.0,0,0
Tegas dan lugas,lugas,0.0,0,0
Hadeeuuuhh amiin rais bisa nya cuma bicara doang,hadeuh nya bicara doang,0.0,0,0
"😂😂😂 mbah ora mutu,plongo plongo,,,,,😂😂😂😂... Indonesia sangat di sayangakn pernah mempuiyai mantan ketuaaa MPR yang plongo plongo,,,😂😂",kakek mutu bingung bingung indonesia sangat sayangakn mempuiyai mantan ketua bingung bingung,0.0,0,0
Ternyata benar pepatah ....<br><br>Anjing menggonggong...<br>Kafilah tetap berlalu..,pepatah anjing gonggong kafilah,3.5,1,2
Mau jadi bangke bnyk bacot,bangke bnyk bacot,3.5,1,2
Ini orang tuwa mulutya bau bankai. Coba berkaca muka lu yang plonga plongo min,ini orang tuwa mulutya bau bankai coba kaca muka kamu bingung bingung min,2.0,1,1
"Ucapan terburuk dari seorang provokasi,,, tobatlah ,,sebelom terlambatnya",ucap terburuk provokasi tobat bom lambat,0.0,0,0
Dh bauh tanah pak ingat mati apk,dh bauh tanah mati apk,5.0,1,2
Dasar sengkuni kok yo sik onok sing percoyo tobat usia tinggal  nenghitung hari,dasar licik iya sik onok percoyo taubat usia tinggal nenghitung,2.5,1,1
"Udah Tua ... ki Amiin  Sudah Solat , perbaiki mulut nya . Untuk kebaikan RAKYAT INDONESIA ..",udah tua ini solat baik mulut nya baik rakyat indonesia,2.0,1,1
Babam amin rais <br>Dulu kau bilang suharto yg terburuk<br>Lalu Gus Dur Terburuk<br>Lalu Joko Wi terburuk<br>Kata kuncinya <br>Kau amin rais asli sddh Stres alias GILA..😂😂😂,babam kau bilang suharto terburuk terburuk wi terburuk kunci kau asli stres alias gila,4.0,1,2
mantul,mantul,0.0,0,0
Semoga suul hotimah,moga suul hotimah,0.0,0,0
"Si Amin ini harus segera d kandangkan , yg menghina itu nt... Dah usia bkn mikirin akherat malah jadi provokator. Segera tobat amin ...😊😊😊",si ini kandang menghina itu nt usia bkn mikirin akherat provokator taubat,0.0,0,0
Kowee isoo opoh....NK pinterr ojok minterii NK cepett jok nyepetii...😅,kamu iso opoh nk pintar ojok minteri nk cepet jok nyepeti,0.0,0,0
Ko&#39; gk sayang mulutnya ...bicara seperti itu....,sayang mulut bicara itu,0.0,0,0
"Amien rais ngolo olo jokowi  kok nggk ngolo gitok, e dw apa dia bersih hehe",ngolo olo nggk ngolo gitok dw dia bersih hehe,0.0,0,0
"Saya dulu sempat mengidolakan orang ini, namun sekarang sdh berbalik 180 derajat<br>Falsafah jari tangan, disaat kita menunjuk maka 3 jari yg lain mengarah kepada kita. <br>Jika saya anak nya, saya akan mengingatkan. Biar berhenti menghujat dan lain lain. Agar tutup umur bisa jadi tenang. <br>Apalagi pernah menjadi ketua ormas besar Muhammadiyah🙏",idola orang ini balik derajat falsafah jari tangan sat jari arah anak nya biar henti menghujat tutup umur tenang ketua ormas muhammadiyah,0.0,0,0
Innalillahi wainna ilaihi Rojiun smga Alloh ampuni dosa2 dia dan Husnul Khotimah.,inalilahi waina ilaihi rojiun smga ampun dosa dia husnul khotimah,0.0,0,0
Sudara kita harus paham jelek 2 kan orang itu hatinya bosok 😂,sudara paham jelek orang itu hati bosok,2.0,1,1
Parah ni kakek...,parah ini kakek,0.0,0,0
"kasi kopi sm rokok, kok kalian pada ggk ngerti sin...",kasi kopi rokok ngerti sin,0.0,0,0
Udah lah,udah,0.0,0,0
Ini manusia?,ini manusia,0.0,0,0
Mana engkleknya baaaaaaaaaaaaaaaaah,engkleknya bah,0.0,0,0
Hai Amien Rais Sengkuni pak Jokowi presiden terbaik di dunia no. 3 no. 2 presiden Prancis d yg no.1 presiden Amerika lu gak baca berita dunia? Sengkuni bisanya bikin masalah melulu susah memang kalau.benci sampai segitunya,hai licik presiden baik dunia no no presiden prancis no presiden amerika kamu baca berita dunia licik bisa bikin melulu susah benci segitunya,8.0,3,2
sekarang dia cm gelandangan politik yg tdk dihargai,dia cm gelandangan politik harga,0.0,0,0
Jokowi terbaik<br>Amin rais terjancuk😂😂😂😂,baik terjancuk,0.0,0,0
Wajah Amien Rais mirip krangkong ( tulang sama kulit ),wajah krangkong tulang kulit,0.0,0,0
Ninggalin hutang yg banyak,ningalin hutang,0.0,0,0
Wes pikun ra ush pidato<br>Isi ne salah kabeh<br>Ramalan e pak wahid bener<br>Wong pikun dadi gelandangan politik,lupa ush pidato isi ne salah kabeh ramal wahid orang lupa gelandangan politik,0.0,0,0
Dari semua sampah inilah biangnya sampah,sampah ini biang sampah,0.0,0,0
"Wong nandur bkale ngunduh, cangkemu minnn amin",orang nandur bkale ngunduh mulut min,0.0,0,0
😂😂😂 kok kalo saya liat yang plonga plongo yg ngomong ya.. tengil pula😂😂😂,lihat bingung bingung ngomong ya menyebalkan,4.0,1,2
Mukanya serem,muka rem,0.0,0,0
Mbah ASUUUUU,kakek anjing,3.5,1,2
Dan amien rais pengemis politik,pengemis politik,2.5,1,1
SENGKUNI nya Indonesia ini tidak sadar klo yang dia katakan adalah sebenarnya dia sendiri....<br> Amin Raiiiiiib..Amin Raib....,licik nya indonesia ini sadar dia dia raib raib,2.5,1,1
Masarakat yg terburuk adalah yg menjelekan orang lain....taubat lebih baik di usia uzur mu....bisa nya hanya bahas kesalahan org lain.,masarakat terburuk jelek orang taubat usia uzur kamu nya bahas salah orang,2.0,1,1
Bahasa bp rais kayak anak kecil yg baru lulus TK. Tidak mendidik sama sx... Bagi saya bp jokowi jauh lebih baik dari pada RAIS... Amiiiiin!!!,bahasa bp kayak anak lulus tk didik sx bp,0.0,0,0
Amin rais akan menjadi  politik yg gelandangan di masa tuanya .itulah yang di ucapkan gusdur..,politik gelandangan tua ucap,2.0,1,1
Min umurmu WIS tuwo eling golek dalan Padang Ojo gawe fitnah. Eling fitnah lebih kejam <br>Banyak istighfar,min umur tuwo golek dal padang ojo gawe fitnah fitnah kejam,0.0,0,0
Durrnoo.raiss,durno,0.0,0,0
"Yang terpuruk yg ngomong,",puruk ngomong,0.0,0,0
Merendahkan diri sendiri,merendahkan,0.0,0,0
Aki aki pekok,kakek kakek kok,0.0,0,0
Kwe ki wis tuwek kok ga iso ddi pnutan to mbh. Wis tuwek ki perbnyk sangu go akhirat. Mulutmu penuuh Sampah.. mbh.. mbh,kwe ini tua iso pnutan kakek tua ini perbnyk sangu go akhirat mulut kamu penuh sampah kakek kakek,4.0,2,2
Orang seperti ini yang membuat dunia kiamat hehe canda,orang ini dunia kiamat hehe canda,0.0,0,0
"Kong sekalipun beliau seperti yg diomongkan engkong rais ,engkong rais tidak sepantasnya seperti itu karna kong tau ilmu agama bahkan engkong tokoh agama memalukan",kong beliau omong engkong engkong itu kong ilmu agama engkong tokoh agama memalukan,0.0,0,0
Ws tuwek kok tmbah GK waras,ws tua tmbah sehat,2.0,1,1
Walah mbah&quot; orang yg beragama islam kok kaya gitu..apa mbah amin sdh paling baik.,walah kakek kutip orang agama kaya kakek,0.0,0,0
dan codot terburuk adalah codotmu,codot terburuk codot,0.0,0,0
ruwet anjiiir,ruwet anjir,0.0,0,0
Benar benar munafik....<br>Ceramahnya menasehati tapi dia sendiri yg melakukan...<br>Luar biasa...,munafik ceramah nasehat dia,0.0,0,0
Ancen asyu bangkotan tua satu ini... dokter wis ora ngatasi iki... &quot;I&#39;m so sorry to hear that... &quot;,ancen asyu bangkot tua ini dokter ngatasi ini kutip i m so sory hear that kutip,2.0,1,1
Wes kari nunggu ajal e mbh2 mbok yo sadar kek,kari nunggu ajal kakek iya sadar,0.0,0,0
Lo siapa si kacung ini wkwkwkw kasian,kamu si kacung ini wkwkwkw kasi,0.0,0,0
Amit amit pak sadar ...,amit amit sadar,0.0,0,0
Amin Rais yg tolol,tolol,4.0,1,2
Aki aki nganngagoreng kabisateh  dah bau tanah .,kakek kakek ngangagoreng kabisateh bau tanah,2.0,1,1
Presiden jokowi presiden terbaik amin raiso telek kicret,presiden presiden baik raiso telek kicret,0.0,0,0
"lumrah amien rais kan wong edan ,ya bebas.",lumrah orang gila ya bebas,4.0,1,2
tengok model kepalanya 😂😂😂,tengok model kepala,0.0,0,0
Amin.raik.pengaco.indonesia.bodoh,raik aco indonesia bodoh,4.0,1,2
Ngomong apa mbah2,ngomong kakek,0.0,0,0
Ngaco ngonge,ngaco ngonge,0.0,0,0
Ini pasien RS jiwa&#39; yg lepas kemarin kayaknya...!!!,ini pasien rs jiwa lepas kemarin kayak,0.0,0,0
Amin Rais itu goblok jadi pemimpin,itu goblok pimpin,4.0,1,2
Kamu mantan ketua ma terburuk sepanjang masa😂,kamu mantan ketua ma terburuk,0.0,0,0
Tuaa bangka  iblis gak puas2 mengacau di negeri ini.. Kau cb lah dgn pak prabowo br tau nasib mu,tua bangka iblis puas acau negeri ini kau cb br nasib kamu,7.0,3,2
Yg melengserkan gusdur...Amin..Rais...masih saja ngoceh.rakyat SDH TDK percaya lgi sama amin rais,lengser ngoceh rakyat percaya lgi,0.0,0,0
Udh bau tanah banyak gaya ni,bau tanah gaya ini,2.0,1,1
Ini siapa?,ini,0.0,0,0
Modar o ae mbah.<br>Urip ra gunani e .,tinggal o aja kakek urip gunani,0.0,0,0
"Amin manusia terburuk di indonesia,..gatau diri ud bau tanah jg msh ga sadar diri,...hei anak rais yg perempuan km ga kesian sm bpk mu itu di olok3 org",manusia terburuk indonesia gatau ud bau tanah sadar hei anak perempuan kamu kesi kamu itu olok orang,2.0,1,1
"Amin rais / amin setres ngomong asal asalan ,karena sudah nggk ingat dirinya ...karena otaknya sudah buruk bahkan hatinya sudah membusuk ,,",tres ngomong asal nggk otak buruk hati busuk,6.0,2,2
Tuhan meninggikan orang yg d hina d caci maki..,tuhan tingi orang hina caci maki,0.0,0,0
indonesia emang harus ada orang macam ini ...ada yg baik ada yg buruk... jd pelengkap saja,indonesia emang orang ini buruk lengkap,3.0,1,1
"sadar bah wes tuwo usah mikirin wong ,mikir awake dawek wae",sadar bah tuwo mikirin orang mikir awake dawek,0.0,0,0
Mantan ketua MPR terburuk aminrais bin gelandangan,mantan ketua terburuk aminrais gelandangan,0.0,0,0
terburuk matamu picek asu dakjal.,terburuk mata picek anjing dakjal,3.5,1,2
Kasihan ini orang...terlalu ambisi jadi orang paling benar..menjelekkan orang lain itu sama hal nya menghina ciptaan Allah SWT..sadarlah...jangan menambah dosa,kasihan ini orang ambisi orang jelek orang itu nya menghina ciptan swt sadar tambah dosa,2.0,1,1
Sengkuniiii...,licik,2.5,1,1
Dasar pemulung politik sialan anji amin rasis anjing,dasar pulung politik sial anji ras anjing,3.5,1,2
aki aki terus aja ngigau.....diam ki nanti lu struke,kakek kakek aja ngigau diam ini kamu struke,0.0,0,0
"N terburuk kok sampe 2x jd presiden,,,, kamu iri ya g bs ky pak jokowi,",terburuk sampe x presiden kamu iri ya bs ky,0.0,0,0
"OOO memng dasar kakek wes pikun Iki ,,",o memng dasar kakek lupa ini,0.0,0,0
"Pak Amin Rais Dia Tidak Sadar Dia Bilang dirinya sendiri <br>Inilah Gelandangan Politik, yg tidak diakui oleh Rakyat Indonesia",dia sadar dia bilang ini gelandangan politik aku rakyat indonesia,0.0,0,0
"Kamu pengen jadi presiden ya ? Jangan dek jangan, mending kamu terus nadi orang gila aja ya",kamu ken presiden ya dek mending kamu nadi orang gila aja ya,4.0,1,2
Mbok yo tobat ae. Ws tuwo,iya taubat aja ws tuwo,0.0,0,0
kau yg plongo plongo amin .<br>bodoh tak ada guna,kau bingung bingung bodoh,4.0,1,2
Smin rais Asu,smin anjing,3.5,1,2
Sengkuni banysk bacot,licik banysk bacot,2.5,1,1
"Semoga diakhir hayatnya, pak amin mau bertaubat 😢",moga akhir hayat taubat,0.0,0,0
"Kalau aku jadi anaknya, tak akan ku biarkan spesies macam ini di lepas bebaskan. Malu maluin euy.😂",aku anak ku biar spesies ini lepas bebas malu maluin euy,0.0,0,0
Manusua terburuk adalah amin rais aluas sengkuni<br>Si akal sesat  sang gelandanfan politik<br>Waktu datang di pelantijan pk pressiden prabowo gibran<br>Plonga plongo tersorot kamera,manusua terburuk aluas licik si akal sesat sang gelandanfan politik pelantijan presiden gibran bingung bingung sorot kamera,5.5,2,2
Kamu iri yaaaa...😂,kamu iri ya,0.0,0,0
Laler..,laler,0.0,0,0
Min amin kowe duwe janji arep jln enklek jkt jogjo amin sadar kowe arep. Matik kok gak mati2.wis tuwek amin amin. Jek punya pikiran orang,min kamu duwe janji arep jln enklek jkt jogjo sadar kamu arep matik mati tua jek pikir orang,7.0,2,2
"aq pengen njotoosiiii cangkeemmuuu iisss raaiiisss raaiiimu weleekkk atek ngilokno pak jokowi,,heeeee koen iku wis idek mateeekkk e tobatooo is raaiiisss",aq ken njotosi mulut rai welek atek ngilokno he koen itu idek matek tobato,0.0,0,0
"yoooooo RAAAAAIIIIIIMUUUUUU iku seng terburuuukkk sak indonesia is raaiiiisssss,,gk isiiin kowar kowar kono kene,,dengkiiimu pantes penghuni nerokooo rais djancookkkk",iya rai itu terburuk sak indonesia isin kowar kowar kono kene dengki pantes huni neroko djancok,0.0,0,0
jokowi tetap terbaik,baik,0.0,0,0
"Yah pengin jadi presiden ga kesampean jadi orang <a href=""http://gila.ga/"">GILA.ga</a> omonganya  ga bitingya  gatubuhhnya...jadi nglantur Kalntang klantung kemana mana",yah pengin presiden sampean orang gila omonganya bitingya gatubuhnya nglantur kalntang klantung mana,4.0,1,2
Tuwekan Yen ngomong sak penake Dewe...iri ora isoh dadi presiden.mergone ora Ono sing seneng kelakuane memfitnah wae..menengo wae Mbah min,tuwekan yen ngomong sak penake dewe iri isoh presiden mergone ono neng kelakuane memfitnah menengo kakek min,0.0,0,0
"Dari sekian banyaknya komentar gk ada yg pro,, 😅 mesakne min 😂😂😂",sekian banyak komentar pro mesakne min,0.0,0,0
Njaluk Di Deplok Cangkem e Mbah Amin Iku,njaluk deplok mulut kakek itu,0.0,0,0
Lepas dr RSJ nih org,lepas rsj ini orang,0.0,0,0
Si Amin Rais  Kamu Yang Tengik <br>Kamu  Min  Sudah Tua Bangka  .,si kamu tengik kamu min tua bangka,4.0,2,2
Sing dadi anak e raiso ngandani,anak raiso ngandani,0.0,0,0
"Jokowi presiden terbaik, amin rais seorang mumafik meh modar caci maki orang lain cangkeme seseli gombal biar gak nyocot",presiden baik mumafik meh tinggal caci maki orang mulut sel gombal biar nyocot,0.0,0,0
Wong tuwek gur gari ngenteni mati we kakean polah mbah 😂😂😂,orang tua gur gari ngenteni mati we kakean polah kakek,7.0,2,2
mulut Sengkuni..y mulutmu itu mbah..,mulut licik y mulut kamu itu kakek,2.5,1,1
Jenenge wae wong stress ngomonh angger njeplak.ayo mas gibran pejarakn saja orang kayak gini.,jenenge orang stres ngomonh anger njeplak ayo mas gibran pejarakn orang kayak,0.0,0,0
Ngomong opo tohh mbahh 😂 ngecepretttt ae gak jelas 😢uwongg koq due penyakit hati 😪,ngomong kakek ngecepret aja uwong koq due sakit hati,0.0,0,0
Glandangan politik,gelandangan politik,0.0,0,0
P.mbjh ngrasa pinter kalau pak Jokowi jokoptet mbh amiin itu apa nggk tau malu orang sudah tua nggk sadar sadar adtifirllah di,mbjh ngrasa pintar jokoptet kakek itu nggk malu orang tua nggk sadar sadar adtifirlah,2.0,1,1
"Ngomong,dah cengap2,,ko mikir.",ngomong cengap mikir,0.0,0,0
"Kasian mbah rais , gk kebagian apa2 ,  lalu menghina 😅😅😅",kasi kakek bagi menghina,0.0,0,0
SENGKUNI ..SAMPAH NKRI.MUNAFIK TUA SUNGGUH BUSUK HATI NYEH,licik sampah nkri munafik tua sungguh busuk hati nyeh,7.5,3,2
Kakek2 paling berhati busuk di Indonesia..<br><br>Cuiihhh...,kakek hati busuk indonesia cuih,3.0,1,1
nyadar gk sh Loe Mbah Min???,nyadar sh loe kakek min,0.0,0,0
Sudah TUA .TOBAT KAU,tua taubat kau,2.0,1,1
Kompeni.ini.jangan diikuti.sudah tua bau tanah masih sering menghina....,kompeni ini kuti tua bau tanah menghina,4.0,2,2
pasien panti jompo yg pikun kebanyakan makan uang haram ini,pasien panti jompo lupa banyak makan uang haram ini,0.0,0,0
😂 sudah dendam kebelet,dendam kebelet,0.0,0,0
"Udah tua mbah amin.... Banyak doa2 saja. Jngn buang2 waktu hanya untuk ngumpilin dosa. Menghina, merendahkan mencaci orang.",udah tua kakek doa jngn buang ngumpilin dosa menghina merendahkan caci orang,2.0,1,1
"Hahaha sy hanya bisa tertawa melihat amin rais, tanpa sy merendahkan amin rais, dia sudah merendahkan dirinya serendah rendahnya...",hahaha tertawa merendahkan dia merendahkan serendah rendah,0.0,0,0
Seperti nya dia mengatakan diri dia sendiri dengan bangga,nya dia dia bangga,0.0,0,0
"Setuju pak, fakta.",tuju fakta,0.0,0,0
Menurut pak Amin Rais Mulyono adalah manusia toxic... manusia tengil...plonga plongo,manusia toxic manusia menyebalkan bingung bingung,4.0,1,2
Ya Allah berilah PetunjukMU utk Amin Rais(orang yg menghina ciptaanMU ini),ya ilah tunjuk orang menghina ciptanmu ini,0.0,0,0
"Kasihan kau mbah , kapan mau jalan kaki jkt jogya ?",kasihan kau kakek jalan kaki jkt jogya,0.0,0,0
isone gun maido..hahahaha...pret,isone gun maido hahahaha bohong,0.0,0,0
"Amien rais orang tua terburuk di Indonesia, dia ini suka ngejelikin orang, tapi sebenarnya orang yg dia jelekin itu jauh di atasnya, bagaikan langit dan bumi, tapi sebenarnya orang tua ini, tidak berguna tolol dan dungu",orang tua terburuk indonesia dia ini suka ngejelikin orang orang dia jelekin itu atas langit bumi orang tua ini guna tolol dungu,12.0,4,3
"Bagi kami , Jokowi adalah presiden terbaik. Jokowi akan disematkan banyak gelar oleh rakyat",presiden baik semat gelar rakyat,0.0,0,0
"Lebih buruk lagi kamu pak amin, ngaca coba seperti apa sih dirimu",buruk kamu kaca coba kamu,3.0,1,1
Cangkeme Amen rais koyo assssssssuuuuu,mulut amen anjing,3.5,1,2
"Cangkem gelandangan ya begitu,amit amit jabang bayi.<br>Kalau gelandangan kan pada tau sendiri kan,auka jalan²,ngomong dan letawa sendiri..ya kayak odgj lah,menuju gila permanen",mulut gelandangan ya amit amit jabang bayi gelandangan auka jalan ngomong letawa ya kayak gila gila permanen,8.0,2,2
"Nafas sudah pendek pendek... <br>Hati kok ma kok makin parah...<br><br>Lagi pula, siapa yg masih mau dengar mulut busuk😂😂😂😂",nafas pendek pendek hati ma parah dengar mulut busuk,7.0,3,2
Siapa klu mbah terburuk di Indo,kakek terburuk indo,0.0,0,0
Amin Rais X<br>Amin Raib 😂,x raib,0.0,0,0
Mbah mbah.... Tobat mbah.... Malu tu ma peci 😇,kakek kakek taubat kakek malu itu ma peci,0.0,0,0
